path	line	category	match	text
.gitattributes	42	runtime-file-reference	Statwin	Statwin/*.[Tt][Mm][Pp] binary
.gitattributes	43	runtime-file-reference	Program/	Program/statwin/*.[Tt][Mm][Pp] binary
AdvStrings.txt	20	runtime-file-reference	C:\	WORLDMAGIC:\n
AdvStrings.txt	488	runtime-file-reference	s:\	Found %d Gold\nand a bag with Jewels:\n%s
AdvStrings.txt	572	runtime-file-reference	s:\	The wise man says:\nThe people applaud your brave\nstruggle to free Shandalar from\nthe tyranny of the Five Wizards.\n\n
AdvStrings.txt	634	runtime-file-reference	C:\	WORLDMAGIC:\n
AdvStrings.txt	659	runtime-file-reference	s:\	The card seller\nsuggests:\n\nIf you combine this\n%1\nwith the\n%2\nyou already have, you can:\n\n
AdvStrings.txt	660	runtime-file-reference	s:\	The card seller\nnotes:\n\nIf you buy this %s, you can:\n\n
AdvStrings.txt	723	runtime-file-reference	s:\	You are an Adequate Apprentice\nsays the %s:\n
AdvStrings.txt	724	runtime-file-reference	s:\	You are an Adequate Apprentice\nsays the %s:\n
AdvStrings.txt	725	runtime-file-reference	s:\	You are a Skillful Magician\nsays the %s:\n
AdvStrings.txt	726	runtime-file-reference	s:\	You are a Skillful Magician\nsays the %s:\n
AdvStrings.txt	727	runtime-file-reference	s:\	You are a Mighty Sorceress\nsays the %s:\n
AdvStrings.txt	728	runtime-file-reference	s:\	You are a Mighty Sorceror\nsays the %s:\n
AdvStrings.txt	729	runtime-file-reference	s:\	You are a Fearsome Wizardess\nsays the %s:\n
AdvStrings.txt	730	runtime-file-reference	s:\	You are a Fearsome Wizard\nsays the %s:\n
AdvStrings.txt	746	runtime-file-reference	e:\	Note:\nYour magic bag only holds 500 spells\nand you currently have %d\n
AGENTS.md	10	runtime-file-reference	sound	| Do not delete, move, or normalize binaries, art, data, decks, sounds, or historical files without explicit user approval. | Old game launch paths often depend on nearby files and exact names. |
AGENTS.md	23	runtime-file-reference	Shandalar.exe	| Do not casually replace the patched `Shandalar.exe` binaries with older copies. | Root and `Program/Shandalar.exe` contain documented patches at `0x1785b0` for the start-color `CreateDIBSection` crash, `0xa1a42` for the name-entry default buffer, `0xa1acd`/`0xa1af2` for the name-editor bypass and empty-name fallback, and movement hooks at `0x44398c`, `0x444a2b`, and `0x444aa7` using code cave `0
AGENTS.md	24	runtime-file-reference	FaceMaker	| Do not casually replace the active `FaceMaker.exe` binaries with the older no-resolution copies. | Root and `Program/FaceMaker.exe` are now no-resolution/Korath-derived plus an additional documented `CreateDIBSection` compatibility patch. |
AGENTS.md	25	runtime-file-reference	FaceMaker	| Do not archive or delete `FaceMaker-nores.exe` as stale clutter. | A visible 2026-05-31 CrossOver new-game run logged `FaceMaker-nores.exe /S` during the path that reached the adventure map, so the no-resolution helper is runtime-relevant evidence until the character-creation handoff is fully understood. |
AGENTS.md	26	runtime-file-reference	Program/	| Do not casually replace the patched `ManalinkEh.dll` binaries with older copies. | Root and `Program/ManalinkEh.dll` contain a documented Samite/Femeref/Kithkin damage-prevention activation guard at file offsets `0x3bb035` and `0x381a25`; this patch targets a duel freeze where a healer ability was offered outside the real damage-prevention window. |
AGENTS.md	27	runtime-file-reference	Magic.exe	| Do not casually replace the patched `Magic.exe` binaries with older copies. | Root and `Program/Magic.exe` contain a documented declared-attacker undo hook at `0x43c303` with code cave `0x459bc8`; this lets a human player click an already-declared attacker before Done to clear `STATE_ATTACKING`. |
AGENTS.md	28	runtime-file-reference	Statwin	| Do not treat every `.tmp` file as disposable. | The tracked `Statwin/*.tmp` and `Program/statwin/*.tmp` files are bitmap/mask-like UI resources by `file` output; root and Program `statscrn.tmp` also differ by hash. |
AGENTS.md	29	runtime-file-reference	Program/	| Treat duplicate cleanup as an install-root decision first. | The active canonical layout is repo root plus top-level `Program/` and top-level `Mods/`; `Manalink3/` is historical/unsupported for active cleanup unless a future user decision says otherwise. |
AGENTS.md	37	runtime-file-reference	Program/	| Do not move runtime-like assets into `archive/` without explicit approval and a launch-copy test plan. | Many root files mirror or differ from `Program/` files in ways that are not fully understood. |
AGENTS.md	40	runtime-file-reference	Mods/	| Do not restore duplicate archives under `Manalink3/Mods/` just to make that package root self-contained. | [docs/package-layout-cleanup.md](docs/package-layout-cleanup.md) documents top-level `Mods/` as the canonical archive root after the install-root policy pass. |
